gene_id	DMSO_1	DMSO_2	DMSO_3	BEZ_1	BEZ_2	BEZ_3
ENSG00000000003	811	1054	996	650	758	866
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	640	788	714	470	490	556
ENSG00000000457	666	817	862	770	833	1065
ENSG00000000460	1000	1172	1253	294	314	422
ENSG00000000938	0	0	0	0	0	0
ENSG00000000971	3	0	2	0	2	1
ENSG00000001036	1292	1681	1653	1092	1027	1374
ENSG00000001084	951	1047	1136	1310	1316	1729
ENSG00000001167	1948	2138	2451	1724	1768	2304
ENSG00000001460	0	0	0	0	0	1
ENSG00000001461	7	15	24	52	55	87
ENSG00000001497	1543	1701	1596	933	954	1132
ENSG00000001561	181	207	279	224	256	350
ENSG00000001617	341	430	390	285	249	314
ENSG00000001626	0	0	0	0	0	0
ENSG00000001629	1965	2036	2599	1719	2001	2576
ENSG00000001630	5141	5552	6082	2243	2376	3178
ENSG00000001631	769	819	865	683	717	968
ENSG00000002016	352	369	459	374	338	490
ENSG00000002079	0	2	3	0	0	1
ENSG00000002330	277	403	272	294	263	277
ENSG00000002549	1137	1323	1300	947	953	1198
ENSG00000002586	1169	1391	1201	726	740	868
ENSG00000002587	0	0	0	0	0	0
ENSG00000002726	2	3	4	0	0	5
ENSG00000002745	1	1	0	1	0	1
ENSG00000002746	0	0	1	3	0	0
ENSG00000002822	309	404	352	309	301	310
ENSG00000002834	1685	2019	1842	1519	1463	1803
ENSG00000002919	558	581	588	353	368	449
ENSG00000002933	988	1188	1058	1016	1053	1220
ENSG00000003056	1917	2138	2247	1618	1536	2005
ENSG00000003096	5987	6270	7168	3055	3822	4606
ENSG00000003137	1	2	0	1	1	2
ENSG00000003147	1856	1977	2009	2104	2180	2733
ENSG00000003249	457	508	473	407	347	393
ENSG00000003393	901	933	990	960	902	1188
ENSG00000003400	1	1	2	0	5	1
ENSG00000003402	1620	1497	2098	2303	2560	3431
ENSG00000003436	25	32	33	17	17	16
ENSG00000003509	535	662	683	538	518	740
ENSG00000003756	3665	4103	4662	6111	5816	7738
ENSG00000003987	21	23	35	20	28	31
ENSG00000003989	475	551	656	639	816	1001
ENSG00000004059	1335	1728	1389	1138	1116	1172
ENSG00000004139	2253	2356	2511	2854	2378	3056
ENSG00000004142	2008	2331	2244	1882	1761	2150
ENSG00000004399	400	437	378	235	190	260
ENSG00000004455	1521	1799	1785	1247	1261	1486
ENSG00000004468	3	3	1	1	1	1
ENSG00000004478	2968	3666	3470	3469	3043	3977
ENSG00000004487	3352	3940	3725	2545	2369	3160
ENSG00000004534	4049	4691	4982	3173	2352	3396
ENSG00000004660	658	762	774	896	785	978
ENSG00000004700	1203	1294	1449	594	658	819
ENSG00000004766	573	636	712	439	564	671
ENSG00000004776	3	0	6	3	0	3
ENSG00000004777	412	368	291	191	143	161
ENSG00000004779	1332	1840	1473	1070	1135	1422
ENSG00000004799	0	0	0	0	0	0
ENSG00000004809	6	0	0	0	0	0
ENSG00000004838	74	105	80	122	98	127
ENSG00000004846	0	0	0	0	0	0
ENSG00000004848	1	2	1	2	2	1
ENSG00000004864	2125	2623	2556	1301	1358	1696
ENSG00000004866	1200	1394	1367	1587	1445	1840
ENSG00000004897	2163	2277	2655	1435	1620	2163
ENSG00000004939	0	1	0	0	2	0
ENSG00000004948	0	0	0	0	1	0
ENSG00000004961	347	429	448	262	336	361
ENSG00000004975	1268	1566	1434	1252	1170	1356
ENSG00000005001	0	0	0	0	0	0
ENSG00000005007	1303	1585	1504	1346	1220	1441
ENSG00000005020	0	0	0	0	0	0
ENSG00000005022	4235	5334	4631	5571	5347	6536
ENSG00000005059	60	50	65	22	37	42
ENSG00000005073	115	129	131	132	99	158
ENSG00000005075	406	460	387	201	229	218
ENSG00000005100	2098	2236	2557	2136	1950	2687
ENSG00000005102	0	0	0	0	0	0
ENSG00000005108	294	228	358	373	377	495
ENSG00000005156	2163	2315	2725	1456	1397	1833
ENSG00000005175	764	847	1001	558	644	845
ENSG00000005187	21	38	35	51	58	61
ENSG00000005189	376	362	384	204	222	244
ENSG00000005194	1869	2174	2170	1562	1520	1905
ENSG00000005206	929	1059	912	774	644	711
ENSG00000005238	160	154	201	128	169	181
ENSG00000005243	50	39	42	24	28	30
ENSG00000005249	1042	1111	1422	980	1146	1327
ENSG00000005302	547	663	682	481	448	617
ENSG00000005339	2097	2137	2575	2777	2457	3483
ENSG00000005379	278	313	285	650	537	669
ENSG00000005381	0	0	0	0	0	0
ENSG00000005421	0	0	1	2	1	0
ENSG00000005436	746	708	821	635	828	991
ENSG00000005448	288	329	338	152	212	214
ENSG00000005469	292	344	363	211	220	312
ENSG00000005471	0	1	2	0	0	0
ENSG00000005483	1812	1724	2176	2442	2566	3534
ENSG00000005486	684	793	666	412	343	437
ENSG00000005513	125	188	147	234	172	203
ENSG00000005700	1822	1848	2106	1211	1403	1893
ENSG00000005801	559	655	722	427	492	636
ENSG00000005810	2784	2482	3483	3302	2968	4226
ENSG00000005812	741	737	974	690	914	1179
ENSG00000005844	10	14	16	12	11	10
ENSG00000005882	280	358	325	378	399	450
ENSG00000005884	322	332	338	399	353	454
ENSG00000005889	635	706	860	647	672	900
ENSG00000005893	1345	1480	1818	1516	1555	2005
ENSG00000005961	8	12	7	2	5	14
ENSG00000005981	0	0	0	1	0	1
ENSG00000006007	1016	1233	1065	1153	1129	1364
ENSG00000006015	243	370	273	205	194	248
ENSG00000006016	514	619	464	241	235	241
ENSG00000006025	329	370	358	356	310	342
ENSG00000006042	7	0	1	0	1	4
ENSG00000006047	3	1	2	3	2	5
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	104	103	102	57	52	80
ENSG00000006071	344	321	371	423	443	484
ENSG00000006116	0	0	0	0	0	0
ENSG00000006118	3021	3441	3059	3456	2937	3230
ENSG00000006125	6919	7230	7946	6169	5976	7835
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194	1252	1473	1377	1983	1735	2383
ENSG00000006210	13	20	14	6	6	3
ENSG00000006282	584	665	638	585	551	639
ENSG00000006283	6	5	4	2	3	4
ENSG00000006327	41	59	60	12	6	10
ENSG00000006377	1096	1439	1271	1122	991	1262
ENSG00000006432	496	484	634	657	602	908
ENSG00000006451	1071	1265	1317	962	1154	1427
ENSG00000006453	3	2	10	2	7	9
ENSG00000006459	520	552	696	995	1225	1617
ENSG00000006468	536	482	676	736	767	945
ENSG00000006530	943	1065	1102	809	813	1085
ENSG00000006534	110	108	102	123	169	165
ENSG00000006555	0	0	0	1	0	0
ENSG00000006576	1855	1866	2545	1347	1457	2016
ENSG00000006606	0	0	0	0	0	0
ENSG00000006607	1152	1053	1234	731	877	1113
ENSG00000006611	51	61	68	49	52	69
ENSG00000006625	952	1215	1033	917	807	1121
ENSG00000006634	885	1027	980	418	457	620
ENSG00000006638	7	8	3	1	2	3
ENSG00000006652	663	788	789	2241	2441	2967
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	462	511	510	507	429	560
ENSG00000006704	1073	1169	1122	1657	1386	1776
ENSG00000006712	1068	1323	1219	819	739	965
ENSG00000006715	1114	1130	1357	1627	1662	2174
ENSG00000006740	85	117	117	252	276	271
ENSG00000006744	1569	1870	1944	1310	1096	1434
ENSG00000006747	1	0	1	0	0	0
ENSG00000006756	342	361	425	353	440	546
ENSG00000006757	1	0	0	0	1	0
ENSG00000006788	0	1	1	2	1	3
ENSG00000006831	1649	1915	2036	1320	1251	1678
ENSG00000006837	58	82	78	90	98	104
ENSG00000007001	0	0	1	0	0	2
ENSG00000007038	0	0	0	0	0	0
ENSG00000007047	595	659	624	807	807	913
ENSG00000007062	22	29	28	15	27	30
ENSG00000007080	531	679	473	273	249	238
ENSG00000007129	0	0	0	0	0	0
ENSG00000007168	5538	5802	6590	5659	5870	8020
ENSG00000007171	25	18	18	4	7	1
ENSG00000007174	0	0	0	0	1	0
ENSG00000007202	6419	6856	8100	5137	4300	6026
ENSG00000007216	0	0	0	0	0	0
ENSG00000007237	236	286	280	455	437	576
ENSG00000007255	172	231	188	168	175	150
ENSG00000007264	0	0	2	0	0	0
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	1	0	0	0	0	0
ENSG00000007314	0	0	0	0	0	0
ENSG00000007341	416	518	470	514	484	669
ENSG00000007350	1	0	0	0	1	0
ENSG00000007372	288	360	381	175	186	254
ENSG00000007376	287	437	338	299	240	219
ENSG00000007384	43	53	52	58	49	40
ENSG00000007392	2255	2815	2664	2614	2276	2890
ENSG00000007402	1470	1244	1446	911	885	1078
ENSG00000007516	15	25	9	11	13	14
ENSG00000007520	477	711	401	327	311	271
ENSG00000007541	479	605	512	277	216	220
ENSG00000007545	1537	1687	1954	2313	2055	2731
ENSG00000007866	127	138	166	92	75	108
ENSG00000007908	0	3	3	0	0	1
ENSG00000007923	935	1027	1034	846	826	893
ENSG00000007933	0	0	0	0	0	0
ENSG00000007944	10	19	17	11	12	11
ENSG00000007952	12	6	8	6	6	7
ENSG00000007968	358	375	442	26	25	43
ENSG00000008018	2450	3162	2775	2243	2169	2763
ENSG00000008056	530	540	550	604	483	635
ENSG00000008083	1743	1813	2031	1700	1698	2077
ENSG00000008086	609	627	792	524	537	761
ENSG00000008118	62	94	70	252	241	294
ENSG00000008128	220	299	184	305	239	266
ENSG00000008130	961	1154	1075	728	728	850
ENSG00000008196	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	8	9	17	68	66	72
ENSG00000008256	626	688	767	870	763	1027
ENSG00000008277	2663	2741	3602	3109	3218	4203
ENSG00000008282	1007	1154	1357	1021	1125	1433
ENSG00000008283	398	424	399	298	223	317
ENSG00000008294	6663	6997	8954	6192	6628	8677
ENSG00000008300	710	640	776	792	550	723
ENSG00000008311	385	404	514	434	485	577
ENSG00000008323	0	0	1	0	1	0
ENSG00000008324	230	327	267	195	189	258
ENSG00000008382	224	303	262	159	146	166
ENSG00000008394	1	0	0	0	1	1
ENSG00000008405	1644	2069	2066	1361	1156	1474
ENSG00000008438	0	0	0	1	0	0
ENSG00000008441	1777	1878	1993	1709	1628	1912
ENSG00000008513	241	249	310	250	245	368
ENSG00000008516	3	1	7	5	2	3
ENSG00000008517	0	0	1	1	1	0
ENSG00000008710	2024	2114	1876	2256	2067	1921
ENSG00000008735	603	688	569	732	675	798
ENSG00000008838	1893	2099	2132	1411	1273	1636
ENSG00000008853	802	905	892	1620	1718	2142
ENSG00000008869	1202	1185	1457	1669	1633	2240
ENSG00000008952	2084	2382	2840	2063	2462	2968
ENSG00000008988	7365	9701	7706	11696	12769	14170
ENSG00000009307	12763	14808	14950	15310	15808	19972
ENSG00000009335	3270	3424	3801	2969	2857	3957
ENSG00000009413	1592	1496	2022	1724	1816	2614
ENSG00000009694	0	0	0	0	0	0
ENSG00000009709	0	0	0	0	0	0
ENSG00000009724	15	13	15	52	29	38
ENSG00000009765	0	0	0	0	0	0
ENSG00000009780	112	111	107	102	113	126
ENSG00000009790	60	70	62	25	35	50
ENSG00000009830	473	536	596	433	381	536
ENSG00000009844	1571	1794	1990	1189	1332	1718
ENSG00000009950	13	8	4	5	6	8
ENSG00000009954	5206	5691	6393	4650	4460	5950
ENSG00000010017	1029	1124	1273	822	942	1249
ENSG00000010030	1	0	3	1	0	0
ENSG00000010072	584	621	723	394	369	511
ENSG00000010165	3734	4539	4500	3247	3027	4004
ENSG00000010219	181	218	183	194	179	232
ENSG00000010244	5493	5937	7167	6149	6600	8107
ENSG00000010256	3005	3885	3362	2455	2199	2609
ENSG00000010270	987	1176	1081	646	743	922
ENSG00000010278	2270	2964	2773	1243	1220	1391
ENSG00000010282	2	3	5	4	8	12
ENSG00000010292	3163	3394	3685	1813	1613	2168
ENSG00000010295	1073	1132	1099	1268	986	1334
ENSG00000010310	22	35	27	46	51	54
ENSG00000010318	69	51	76	59	58	75
ENSG00000010319	57	69	61	63	60	78
ENSG00000010322	2966	3176	3401	3242	3133	3859
ENSG00000010327	5	4	6	5	3	5
ENSG00000010361	228	294	223	219	175	228
ENSG00000010379	0	0	1	0	2	2
ENSG00000010404	2906	2890	3796	3690	4078	5198
ENSG00000010438	631	768	683	770	789	829
ENSG00000010539	350	413	427	248	284	356
ENSG00000010610	14	26	31	8	6	10
ENSG00000010626	56	64	62	88	70	85
ENSG00000010671	0	0	0	1	2	1
ENSG00000010704	0	0	0	1	1	2
ENSG00000010803	472	520	556	593	507	692
ENSG00000010810	1332	1515	1542	1362	1305	1736
ENSG00000010818	878	896	1134	1447	1444	1918
ENSG00000010932	1	1	0	0	0	1
ENSG00000011007	813	938	1047	722	738	972
ENSG00000011009	494	650	523	333	328	300
ENSG00000011021	408	408	448	475	459	607
ENSG00000011028	496	591	513	320	341	365
ENSG00000011052	1784	2213	1550	1025	947	667
ENSG00000011083	0	0	0	0	0	0
ENSG00000011105	482	544	521	873	832	957
ENSG00000011114	1096	1122	1431	1213	1281	1752
ENSG00000011132	174	243	166	201	206	192
ENSG00000011143	419	413	414	324	317	368
ENSG00000011198	420	482	511	299	335	381
ENSG00000011201	7	8	7	2	11	13
ENSG00000011243	1127	1358	1248	1861	1527	1918
ENSG00000011258	914	1028	1169	1355	1446	1908
ENSG00000011260	1283	1616	1542	1174	1245	1611
ENSG00000011275	1210	1314	1314	1112	1053	1383
ENSG00000011295	1847	2154	2190	1884	1736	2413
ENSG00000011304	5405	6187	5772	4659	4310	5083
ENSG00000011332	263	311	297	21	20	23
ENSG00000011347	100	89	97	144	105	145
ENSG00000011376	970	989	1086	506	450	653
