Gene	5974_1_SKMEL-EV_R1	5974_2_SKMEL-EV_R2	5974_3_SKMEL-YAP_R1	5974_4_SKMEL-YAP_R2	5974_5_A375-EV_R1	5974_6_A375-EV_R2	5974_7_A375-YAP_R1	5974_8_A375-YAP_R2
ENSG00000000003	508	406	688	759	605	636	731	748
ENSG00000000005	0	0	0	0	0	0	0	0
ENSG00000000419	2366	2004	2546	2446	1056	1142	1969	1989
ENSG00000000457	346	302	344	346	414	448	284	298
ENSG00000000460	571	416	280	248	316	335	287	282
ENSG00000000938	1	0	0	2	0	1	0	0
ENSG00000000971	0	0	29	33	19	19	55	75
ENSG00000001036	1847	1560	1863	1821	1095	1166	2008	1981
ENSG00000001084	787	686	997	959	1723	1890	1865	2006
ENSG00000001167	1540	1324	1074	997	1173	1243	1119	1231
ENSG00000001460	710	649	1491	1567	447	472	337	338
ENSG00000001461	5128	4171	11311	11565	4921	5019	1197	1198
ENSG00000001497	571	475	1083	1053	1787	1834	2295	2470
ENSG00000001561	408	335	340	347	2	3	1093	1187
ENSG00000001617	10	15	52	43	64	71	1249	1349
ENSG00000001626	12	11	1	0	19	14	9	10
ENSG00000001629	4741	3991	3238	3292	2717	2755	2014	2139
ENSG00000001630	209	191	124	119	154	204	147	214
ENSG00000001631	1812	1634	1583	1645	1620	1603	1067	1145
ENSG00000002016	313	269	439	404	349	365	401	439
ENSG00000002079	5	8	5	4	7	7	179	171
ENSG00000002330	197	174	196	187	131	149	266	433
ENSG00000002549	1745	1589	1233	1204	3107	3287	1284	1296
ENSG00000002586	0	0	0	0	0	0	0	0
ENSG00000002587	53	34	0	1	175	193	20	17
ENSG00000002726	0	1	0	0	4	5	2	3
ENSG00000002745	1	0	6	7	9	10	3	1
ENSG00000002746	1	1	2	3	263	284	230	258
ENSG00000002822	3429	2948	1240	1286	1084	1205	1404	1633
ENSG00000002834	4098	3695	7560	7631	2093	2095	10119	10811
ENSG00000002919	653	582	665	632	342	350	404	443
ENSG00000002933	0	0	0	0	2	5	1	0
ENSG00000003056	2744	2550	1982	1920	3090	3141	4297	4426
ENSG00000003096	96	89	90	75	97	121	95	98
ENSG00000003137	7	3	686	653	3	8	95	151
ENSG00000003147	177	164	169	181	409	437	191	244
ENSG00000003249	1419	1249	240	253	1466	1496	656	751
ENSG00000003393	4311	3677	6225	5899	1269	1432	2576	2851
ENSG00000003400	9	11	8	4	118	125	282	297
ENSG00000003402	1048	983	3439	3200	768	758	2299	2492
ENSG00000003436	92	71	5296	5339	239	234	120	133
ENSG00000003509	762	678	410	398	1164	1252	770	840
ENSG00000003756	2162	1908	1165	1060	2445	2406	1778	1956
ENSG00000003987	30	33	34	39	55	66	59	51
ENSG00000003989	2517	2171	2100	2147	2481	2562	1455	1545
ENSG00000004059	1318	1210	1022	991	1041	1059	1087	1254
ENSG00000004139	40	55	82	102	30	26	23	34
ENSG00000004142	978	896	1257	1280	1320	1383	1504	1535
ENSG00000004399	1923	1674	104	103	2166	2392	4063	4666
ENSG00000004455	4732	4309	4956	4978	6713	7128	2534	2583
ENSG00000004468	6	5	3	4	8	6	13	11
ENSG00000004478	3004	2592	2873	2854	3896	4310	3223	3244
ENSG00000004487	4463	3943	4443	4238	3752	3980	4195	4234
ENSG00000004534	1968	1753	1171	1143	5125	5182	3583	3869
ENSG00000004660	230	235	78	85	276	284	82	101
ENSG00000004700	2473	1977	1013	960	1262	1312	1684	1914
ENSG00000004766	1278	1089	933	951	848	884	861	818
ENSG00000004776	1	2	7	6	1	0	6	5
ENSG00000004777	102	89	151	128	44	36	45	56
ENSG00000004779	1209	1091	1013	1035	869	980	499	563
ENSG00000004799	33	35	32	34	9357	9633	25	26
ENSG00000004809	0	1	0	0	0	0	1	0
ENSG00000004838	69	55	27	25	15	15	6	6
ENSG00000004846	109	90	12	15	201	208	2	0
ENSG00000004848	0	0	0	0	2	1	7	5
ENSG00000004864	3431	2969	622	595	3693	3919	1679	1734
ENSG00000004866	2322	1931	1434	1372	789	812	781	861
ENSG00000004897	2974	2428	3951	4220	2119	2245	3152	3187
ENSG00000004939	0	0	1	1	0	0	0	0
ENSG00000004948	0	0	1	2	1	0	0	6
ENSG00000004961	702	664	1506	1630	857	875	1482	1579
ENSG00000004975	3190	2692	2236	2313	2048	2100	2644	2853
ENSG00000005001	0	0	0	0	0	1	2	0
ENSG00000005007	3594	3002	3330	3460	3504	3520	4316	5029
ENSG00000005020	3304	2839	2039	1976	1517	1564	1039	1158
ENSG00000005022	5808	5133	5308	5380	14123	14888	6271	6389
ENSG00000005059	177	137	164	215	166	181	205	204
ENSG00000005073	14	8	26	14	47	41	11	19
ENSG00000005075	459	427	366	430	375	395	488	545
ENSG00000005100	4107	3488	3136	3296	3501	3561	2784	2857
ENSG00000005102	0	0	0	0	0	0	20	31
ENSG00000005108	0	1	11	8	13	17	43	44
ENSG00000005156	1707	1460	1497	1532	1379	1470	1604	1758
ENSG00000005175	856	719	889	927	1306	1265	1418	1477
ENSG00000005187	172	143	163	193	36	33	2	10
ENSG00000005189	114	88	74	66	67	66	43	35
ENSG00000005194	1133	935	990	1039	2023	2171	1629	1672
ENSG00000005206	667	544	670	572	1347	1453	567	847
ENSG00000005238	2190	1867	2009	1953	251	269	451	505
ENSG00000005243	457	434	534	508	220	212	248	281
ENSG00000005249	650	572	250	222	554	591	255	339
ENSG00000005302	701	597	592	582	709	711	1052	1120
ENSG00000005339	2164	1845	2562	2476	3177	3244	2910	3425
ENSG00000005379	0	0	0	0	0	4	1	4
ENSG00000005381	0	0	0	0	0	0	0	2
ENSG00000005421	3	1	0	3	1	2	1	0
ENSG00000005436	885	680	710	724	1499	1532	1085	1159
