gene	dmso_10hr_1	dmso_10hr_2	dmso_24hr_2	dmso_2hr_1	dmso_2hr_2	dmso_48hr_2	dmso_72hr_1	dmso_72hr_2	dmso_72hr_3	toyocamycin_10hr_1	toyocamycin_10hr_2	toyocamycin_24hr_2	toyocamycin_2hr_1	toyocamycin_2hr_2	toyocamycin_48hr_2	toyocamycin_72hr_1	toyocamycin_72hr_2	toyocamycin_72hr_3
ENSG00000000003	846	1086	1040	813	993	534	571	683	902	1183	719	891	984	973	170	113	144	110
ENSG00000000005	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSG00000000419	581	454	582	652	513	589	464	483	615	221	123	187	657	509	450	754	685	752
ENSG00000000457	148	127	122	144	149	84	99	120	119	36	25	41	59	45	26	25	23	35
ENSG00000000460	210	262	185	121	150	173	127	109	143	35	32	23	143	159	9	19	8	22
ENSG00000000938	1	0	3	1	0	0	0	0	0	0	10	0	1	0	3	0	5	1
ENSG00000000971	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ENSG00000001036	1483	1504	1621	1720	1412	1695	1542	1665	1764	2138	1293	2572	1900	1599	992	672	591	641
ENSG00000001084	1634	1574	1637	1839	1598	2118	1996	1884	2267	429	167	793	1640	1401	822	537	510	557
ENSG00000001167	887	1064	882	595	528	793	748	769	930	680	365	2220	507	499	1740	910	895	984
ENSG00000001460	246	196	206	140	103	98	93	104	106	58	29	77	100	101	48	117	97	91
ENSG00000001461	1381	1625	1433	909	927	958	915	1054	1182	702	538	626	1191	948	658	399	333	420
ENSG00000001497	1612	1454	1584	1514	1274	1700	1509	1558	1633	748	624	275	1625	1454	250	237	209	233
ENSG00000001561	381	498	343	247	290	259	214	178	384	295	218	269	365	289	102	85	65	50
ENSG00000001617	1800	1117	1436	1908	1036	1692	2215	2444	1865	1253	472	601	2031	1042	191	65	87	121
ENSG00000001626	0	0	1	0	0	0	0	0	0	0	14	0	0	0	13	26	25	50
ENSG00000001629	1628	1832	1658	1247	1382	1220	1171	1161	1652	214	143	418	1610	1223	372	161	150	152
ENSG00000001630	298	471	539	343	309	311	367	227	147	191	166	298	353	465	233	156	135	131
ENSG00000001631	85	79	82	57	57	70	34	62	63	7	17	5	72	86	8	8	17	16
ENSG00000002016	208	144	169	105	92	118	115	138	164	40	32	230	105	58	548	661	717	745
ENSG00000002330	115	112	85	125	139	75	77	78	50	133	112	60	179	173	39	32	25	38
ENSG00000002549	2067	2053	2084	2153	1731	2298	1982	2410	2728	1418	927	914	2264	1902	442	428	441	504
ENSG00000002586	4851	4298	7329	4482	3930	4911	4262	4564	4700	6903	2541	11131	5006	4724	5713	1371	1273	1348
ENSG00000002587	104	54	86	87	32	85	56	62	59	66	26	101	76	31	67	78	111	94
ENSG00000002726	52	49	61	58	38	18	95	84	75	72	35	67	52	39	21	5	2	5
ENSG00000002745	648	531	930	947	891	1623	2309	2921	3644	4041	1536	6764	1410	927	6186	14944	13926	14866
ENSG00000002746	0	0	0	0	0	0	0	1	0	0	53	0	0	0	12	8	4	8
ENSG00000002822	7	6	3	4	6	6	1	8	6	15	59	23	31	6	59	230	236	212
ENSG00000002834	5118	4731	4966	4818	3567	4381	5248	5085	4798	826	539	237	4210	3575	156	79	124	109
ENSG00000002919	472	499	515	570	509	426	387	417	434	129	79	185	335	299	149	98	129	148
ENSG00000002933	0	0	2	0	9	0	0	5	2	0	7	0	1	2	0	0	0	0
ENSG00000003056	2086	2143	2058	1896	1696	2133	1922	2255	2304	951	654	593	2106	1805	600	567	537	654
ENSG00000003096	0	0	0	1	0	0	0	0	0	0	27	0	1	0	6	11	13	11
ENSG00000003137	548	348	333	271	196	373	195	160	206	216	118	284	373	219	318	343	433	451
ENSG00000003147	501	610	529	491	494	336	400	412	544	262	184	90	469	536	41	17	36	26
ENSG00000003249	2201	1445	1911	2409	1590	1881	1904	1904	1616	1704	657	1108	2865	1787	404	642	1023	916
ENSG00000003393	814	743	835	572	576	682	473	493	602	397	192	475	503	366	281	239	238	242
ENSG00000003400	0	0	0	0	0	0	1	0	0	1	16	8	0	0	12	25	32	27
ENSG00000003402	631	554	521	558	489	278	302	281	389	397	203	628	440	382	763	1046	1100	1028
ENSG00000003436	0	0	1	1	0	0	0	0	0	0	20	1	1	0	0	3	0	1
ENSG00000003509	157	147	192	152	113	162	139	174	208	97	38	127	148	146	207	200	196	203
ENSG00000003756	681	628	559	588	495	433	333	373	491	85	36	105	443	382	295	358	367	402
ENSG00000003987	5	8	9	6	22	5	8	4	7	4	7	5	17	5	8	18	7	13
ENSG00000003989	151	174	151	148	226	58	89	108	137	28	67	9	246	193	7	3	3	1
ENSG00000004059	3646	2312	4147	3664	2040	3038	2818	3158	2627	5380	1569	5986	4213	2895	1259	241	224	270
ENSG00000004139	354	322	314	347	255	213	246	194	180	130	101	91	374	255	125	47	67	66
ENSG00000004142	4065	3720	3595	4576	3797	4140	4024	4359	4197	2032	1336	593	4775	3854	359	457	392	498
ENSG00000004399	4461	2833	3457	4285	2644	4101	3920	4514	3512	4010	1403	2620	5357	2622	457	112	125	137
ENSG00000004455	3183	3389	3266	3380	3683	3750	3990	4206	4912	2318	1890	3730	3955	4047	4121	3304	3083	3316
ENSG00000004468	0	0	0	1	1	0	0	1	0	3	5	2	0	0	18	12	13	13
ENSG00000004478	3637	3557	3338	3361	3209	4793	4270	4346	4761	2179	1623	874	4194	3653	600	211	319	337
ENSG00000004487	4767	4602	5260	4437	4015	4712	5112	5226	5440	1357	907	702	5235	3809	802	600	696	776
ENSG00000004534	1195	1399	1287	1108	1031	1143	955	966	1212	352	216	795	923	923	1037	737	677	748
ENSG00000004660	611	406	507	712	585	542	469	564	473	146	79	266	631	393	650	923	1168	1120
ENSG00000004700	763	992	718	596	589	469	342	403	463	326	299	132	626	582	94	200	179	190
ENSG00000004766	567	678	568	291	381	263	225	274	401	84	74	109	338	341	53	28	15	19
ENSG00000004776	5	7	4	21	2	1	0	2	2	8	5	6	15	4	8	12	29	32
