GeneID	PRAD_N_1	PRAD_N_2	PRAD_N_3	PRAD_N_4	PRAD_N_5	PRAD_N_6	PRAD_N_7	PRAD_N_8	PRAD_N_9	PRAD_T_1	PRAD_T_2	PRAD_T_3	PRAD_T_4	PRAD_T_5	PRAD_T_6	PRAD_T_7	PRAD_T_8	PRAD_T_9
ENSG00000223972	0	0	0	0	21	0	0	2	0	0	0	5	19	28	29	0	5	0
ENSG00000227232	98	58	115	186	236	369	347	216	498	210	386	103	123	263	187	99	76	62
ENSG00000278267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0
ENSG00000274890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	1	2	7	0	8	10	5	2	2	17	4	0	2	7	0	4	1	6
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000238009	247	218	286	284	107	417	182	436	241	835	459	181	270	181	322	328	140	203
ENSG00000239945	48	30	87	22	6	109	0	115	8	129	62	52	87	36	79	43	35	42
ENSG00000233750	78	105	189	118	245	180	149	255	154	438	183	138	189	179	194	82	66	184
ENSG00000268903	185	127	221	105	507	309	129	270	436	186	282	79	99	140	0	66	300	20
ENSG00000269981	14	10	23	15	36	88	6	21	33	55	60	0	6	0	14	0	31	11
ENSG00000239906	0	10	0	0	9	6	0	0	0	28	0	0	0	5	0	0	0	0
ENSG00000241860	63	191	258	226	628	387	257	482	348	657	257	359	357	333	225	118	59	219
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	2	0	2	0	2	4	5	0	0	6	4	2	0	3	0	1	0	0
ENSG00000279928	0	0	0	0	6	5	5	0	2	3	18	0	0	10	3	0	0	1
ENSG00000279457	753	695	1325	1386	1401	2500	2629	1968	2323	1137	2528	557	1283	1991	865	968	1349	651
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	176	189	160	180	473	157	711	125	205	263	445	76	61	106	250	78	65	169
ENSG00000241670	0	0	0	10	0	12	0	46	0	0	0	0	8	0	0	20	0	11
ENSG00000236679	6	0	4	0	8	0	29	0	0	1	0	0	0	0	8	5	32	0
ENSG00000236743	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ENSG00000236601	0	2	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSG00000237094	63	165	210	163	393	200	307	262	212	434	118	285	332	282	321	126	63	190
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566	0	1	0	0	1	0	0	1	0	0	0	0	0	5	0	0	0	0
ENSG00000224813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	2	3	1	0	0	0	0	4	0	3	0	0
ENSG00000250575	181	109	214	111	353	385	181	222	206	55	270	295	368	315	151	369	181	90
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	30	22	30	43	48	31	30	21	39	77	36	21	18	24	26	11	20	48
ENSG00000235146	0	0	0	0	0	0	2	0	0	1	0	10	0	0	0	1	0	0
ENSG00000225972	89538	39143	56801	42942	60633	96645	53896	46602	23563	20434	376454	43081	98550	94921	55518	63809	61902	74694
ENSG00000225630	198082	134945	163404	171396	211297	304594	203232	164670	93654	141116	1135050	126845	404061	222169	160978	128224	169984	225093
ENSG00000276171	14610	4105	11591	12136	26355	34157	5049	18285	36788	935	3419	2805	3591	9333	1962	9606	5325	6180
ENSG00000237973	818254	438726	413352	515449	674991	1112570	453101	363052	263235	368590	1201680	423397	616967	501103	302838	522768	677414	500369
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2473	0
ENSG00000229344	259635	136021	196248	192334	197223	375134	194260	177373	103722	390268	849249	169090	293750	173695	149904	176355	352570	228683
ENSG00000240409	30715	23384	29589	22905	36124	30689	18008	14298	10078	30054	92490	20069	49900	22664	24760	29035	31892	22675
ENSG00000248527	310163	180664	232840	227442	269599	472494	263961	201758	124187	351454	1032310	234982	458554	227707	198397	217855	363693	258905
ENSG00000198744	352832	160526	226187	203112	262493	346641	195480	159026	146843	268438	942415	180060	204504	249990	163357	225884	344744	344223
ENSG00000268663	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000273547	0	1	0	0	1	0	0	1	0	0	0	0	0	5	0	0	0	0
ENSG00000229376	3	4	6	1	5	13	0	9	1	13	0	3	0	2	5	2	0	18
ENSG00000228327	1010	1316	1671	1539	2567	1874	1731	2556	1510	1922	1341	1831	2876	2300	1478	1854	1248	982
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	1	0	3	3	6	1	3	0	1	0	0	1	1	1
ENSG00000237491	53	83	127	47	78	251	129	163	107	589	183	107	285	171	251	251	30	340
ENSG00000230092	38	37	26	35	32	42	27	45	34	83	14	47	56	28	24	38	9	37
ENSG00000177757	20	42	16	29	25	25	9	41	49	102	6	16	10	13	8	29	0	24
ENSG00000228794	2752	1659	1642	2747	1235	1697	2312	2716	1836	4102	946	2183	835	1022	2685	3880	691	1334
ENSG00000225880	33	38	43	69	79	118	161	116	59	281	124	110	108	63	121	644	53	176
ENSG00000230368	26	6	18	14	15	37	22	8	18	41	18	1	6	18	31	47	11	22
ENSG00000234711	5	0	2	0	2	1	0	2	0	1	3	1	0	0	0	2	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000272438	0	4	1	4	8	3	6	3	3	14	58	2	3	9	2	0	10	17
ENSG00000230699	2	12	11	13	39	15	20	39	29	78	150	17	27	15	27	8	53	84
ENSG00000241180	9	1	10	4	13	7	9	9	6	12	73	5	5	13	6	7	22	11
ENSG00000223764	175	346	319	666	545	403	956	958	1149	450	237	198	182	358	486	36	377	246
ENSG00000187634	165	795	254	674	770	339	1424	1060	1457	626	560	167	473	529	1067	75	767	302
ENSG00000188976	5679	4852	4939	5984	5812	5646	6314	7167	5470	7238	3803	5242	4556	4664	5447	5733	4111	7519
ENSG00000187961	174	178	291	291	203	286	289	368	242	345	182	239	609	282	625	358	317	409
ENSG00000277294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187583	158	77	189	112	652	49	145	188	105	137	39	155	142	229	376	130	212	286
ENSG00000187642	308	264	241	108	283	61	220	197	244	91	53	156	114	158	142	138	214	120
ENSG00000272512	75	68	62	67	112	95	48	96	51	235	79	44	183	525	115	117	222	96
ENSG00000188290	260	145	391	234	359	194	500	594	503	597	466	383	1208	926	744	1332	389	797
ENSG00000187608	745	1142	478	688	607	591	660	2427	2193	438	457	280	1558	836	1583	554	3063	736
ENSG00000231702	0	0	1	1	0	1	1	2	0	3	0	0	0	2	0	0	0	2
ENSG00000224969	4	5	7	8	6	7	5	7	6	12	2	9	6	13	1	8	6	12
ENSG00000188157	6879	13699	15627	9710	9711	3588	7360	12726	6387	12952	3379	6256	7621	10799	14023	10235	5605	6128
ENSG00000242590	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	36	13	68	32	132	108	76	101	62	145	214	44	114	99	188	148	87	127
ENSG00000273443	0	1	0	0	5	0	1	1	0	1	3	0	0	1	2	1	4	1
ENSG00000237330	93	25	139	24	348	115	68	214	62	30	23	17	41	50	131	61	74	90
ENSG00000131591	371	381	455	486	567	491	680	629	615	682	531	440	910	640	638	609	535	649
ENSG00000223823	4	0	14	0	4	4	2	21	6	12	1	1	11	12	53	14	6	61
ENSG00000207730	0	0	7	0	5	0	2	9	0	1	2	4	0	12	8	31	2	1
ENSG00000207607	0	0	8	1	17	1	13	6	1	10	6	5	1	21	9	12	4	2
ENSG00000198976	0	2	15	3	11	12	10	16	4	14	9	4	3	48	15	17	17	14
ENSG00000272141	46	16	226	48	192	247	219	245	64	250	267	104	77	400	266	271	267	411
ENSG00000205231	4	6	3	3	21	16	8	5	12	19	1	3	18	7	14	2	2	4
ENSG00000162571	6	5	19	6	39	6	13	17	10	9	28	4	53	32	41	27	11	33
ENSG00000186891	65	53	74	86	40	51	73	94	115	85	62	53	96	100	109	62	122	143
ENSG00000186827	14	95	44	89	21	68	37	117	242	60	29	18	137	37	145	62	81	59
ENSG00000078808	13415	11428	9821	12083	6567	10448	11614	16600	13751	10623	4355	8869	5940	3400	8647	10312	6506	4371
ENSG00000176022	2625	1124	1526	1174	754	1872	1451	1673	1358	1537	1996	1116	1313	1014	1898	2260	1609	979
ENSG00000184163	2	1	8	4	13	20	16	21	25	11	16	5	30	32	10	29	15	30
ENSG00000260179	21	12	24	18	23	28	29	28	24	97	49	44	58	37	92	168	29	50
ENSG00000160087	2681	1891	2405	2032	1693	1899	2074	3177	3156	2312	1579	2113	1992	2034	2734	3284	1700	1411
ENSG00000230415	2	5	9	18	22	37	26	37	15	53	19	15	49	49	35	27	10	25
